Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-85033000011,2025-07-31,6278,ADVENTURELAND / ALTOONA,305 34TH AVE NW,ALTOONA,50009,POINT (-93.50311 41.65532),POLK,1062500.0,FLAVORED RUM,35.0,BACARDI USA INC,43501,BACARDI RASPBERRY,12.0,750.0,8.99,13.49,12.0,161.88,9.0,2.37
INV-85006700067,2025-07-30,5293,THE BOONEDOCKS,"228, N HWY 71",ARNOLDS PARK,51331,POINT (-95.12597 43.37084),DICKINSON,1062500.0,FLAVORED RUM,35.0,BACARDI USA INC,43137,BACARDI LIMON,12.0,1000.0,9.5,14.25,24.0,342.0,24.0,6.34
INV-84994200007,2025-07-30,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010,POINT (-93.61907 42.0229),STORY,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11777,BLACK VELVET,12.0,1000.0,7.0,10.5,12.0,126.0,12.0,3.17
INV-84993700034,2025-07-30,2501,HY-VEE  #2 (1018) / AMES,640 LINCOLNWAY,AMES,50010,POINT (-93.61869 42.02028),STORY,1041200.0,FLAVORED GIN,342.0,DV SPIRITS LLC,28477,EMPRESS 1908 GIN,6.0,750.0,18.0,27.0,6.0,171.0,4.5,1.18
INV-85002000018,2025-07-30,4073,"UPTOWN LIQUOR, LLC",306 HWY 69 SOUTH,FOREST CITY,50436,POINT (-93.63329 43.2615),WINNEBAGO,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36308,HAWKEYE VODKA,6.0,1750.0,7.5,11.25,6.0,67.5,10.5,2.77
INV-84993300016,2025-07-30,3524,SAM'S CLUB 6568 / AMES,305 AIRPORT RD,AMES,50010,POINT (-93.61423 42.00105),STORY,1062200.0,WHITE RUM,35.0,BACARDI USA INC,43127,BACARDI SUPERIOR,12.0,1000.0,9.5,14.25,12.0,171.0,12.0,3.17
INV-84988700101,2025-07-30,2191,KEOKUK SPIRITS,1013 MAIN,KEOKUK,52632,POINT (-91.38774 40.40001),LEE,1081500.0,TRIPLE SEC,65.0,JIM BEAM BRANDS,86112,DEKUYPER TRIPLE SEC,12.0,1000.0,2.33,3.5,12.0,42.0,12.0,3.17
INV-84994200119,2025-07-30,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010,POINT (-93.61907 42.0229),STORY,1031200.0,AMERICAN FLAVORED VODKA,260.0,DIAGEO AMERICAS,77741,SMIRNOFF RASPBERRY,12.0,1000.0,9.25,13.88,3.0,41.64,3.0,0.79
INV-84994200060,2025-07-30,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010,POINT (-93.61907 42.0229),STORY,1031100.0,AMERICAN VODKAS,777.0,"BLUE OX SPIRITS, INC.",36874,BLUE OX VODKA,12.0,1000.0,4.76,7.14,12.0,85.68,12.0,3.17
INV-84994200118,2025-07-30,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010,POINT (-93.61907 42.0229),STORY,1031200.0,AMERICAN FLAVORED VODKA,260.0,DIAGEO AMERICAS,77699,SMIRNOFF ORANGE,12.0,1000.0,9.25,13.88,3.0,41.64,3.0,0.79
INV-85006700128,2025-07-30,5293,THE BOONEDOCKS,"228, N HWY 71",ARNOLDS PARK,51331,POINT (-95.12597 43.37084),DICKINSON,1022100.0,MIXTO TEQUILA,434.0,LUXCO INC,87997,LA PRIMA WHITE,12.0,1000.0,8.09,12.14,12.0,145.68,12.0,3.17
